,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,run,rand_id,data,pearson,euclidean,mape
4210,0.05,0,5,6,opinion-timeseries,rep,10,3109,"[58. 59. 59. 59. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60. 60. 60. 60. 59.
 59. 59. 59. 59. 59. 59. 59. 59. 59. 59. 59. 60. 61. 61. 61. 61. 60. 60.
 60. 61. 61. 61. 61. 63. 63. 63. 63. 63. 63. 64. 65. 65. 66. 66. 66. 66.
 66. 66. 66. 66. 66. 66. 66. 66. 65. 65.]",0.7023967851522386,43.16882324085287,0.07543958907575496
20650,0.1,0,4,0,opinion-timeseries,rep,3,3046,"[55. 56. 57. 56. 56. 56. 56. 57. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58.
 58. 58. 58. 58. 60. 58. 56. 55. 53. 55. 55. 55. 56. 56. 58. 59. 59. 60.
 61. 61. 60. 59. 59. 60. 60. 60. 60. 63. 64. 64. 66. 66. 68. 68. 68. 68.
 68. 68. 68. 68. 68. 68. 68. 68. 68. 68.]",0.6335784316998098,46.95239397517446,0.07765984912252887
20652,0.1,0,4,0,opinion-timeseries,rep,5,3709,"[55. 55. 55. 53. 53. 53. 53. 55. 56. 57. 57. 57. 57. 57. 57. 57. 57. 56.
 56. 56. 55. 56. 56. 56. 56. 55. 54. 54. 54. 55. 55. 55. 58. 59. 59. 60.
 60. 62. 62. 60. 59. 59. 59. 59. 60. 61. 64. 66. 68. 68. 68. 68. 68. 68.
 68. 68. 68. 68. 68. 68. 68. 68. 67. 63.]",0.6902601345634213,48.123043336846415,0.07913861926855986
1951,0.05,0,3,1,opinion-timeseries,rep,1,1554,"[57. 61. 63. 59. 59. 55. 55. 60. 65. 69. 64. 64. 64. 64. 64. 64. 64. 58.
 58. 58. 54. 57. 61. 61. 57. 56. 52. 54. 54. 58. 58. 58. 60. 64. 62. 64.
 65. 65. 62. 58. 54. 59. 59. 60. 61. 65. 67. 67. 68. 68. 68. 68. 68. 68.
 69. 69. 69. 69. 69. 69. 70. 70. 66. 66.]",0.42019716863129997,51.78056874929049,0.0844655965856106
39437,0.25,0,5,1,opinion-timeseries,rep,2,1415,"[57. 57. 58. 58. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 59. 59. 59. 59.
 59. 59. 59. 59. 62. 62. 61. 61. 61. 62. 62. 62. 62. 61. 61. 62. 62. 62.
 62. 62. 61. 61. 59. 58. 58. 58. 58. 59. 59. 60. 61. 61. 63. 63. 63. 63.
 63. 63. 63. 63. 63. 63. 63. 63. 63. 63.]",0.7221884412650307,48.83121235439479,0.08525473145015264
2601,0.05,0,3,8,opinion-timeseries,rep,21,7380,"[51. 56. 61. 61. 61. 57. 57. 61. 63. 63. 61. 61. 61. 61. 61. 61. 61. 59.
 59. 58. 58. 59. 60. 60. 57. 55. 52. 53. 53. 56. 59. 58. 57. 59. 57. 60.
 62. 64. 63. 60. 60. 57. 57. 58. 60. 64. 65. 66. 65. 64. 66. 66. 66. 66.
 66. 66. 66. 66. 66. 66. 66. 66. 65. 63.]",0.4450517696686781,52.13125070435198,0.08873573386576503
39452,0.25,0,5,1,opinion-timeseries,rep,17,6432,"[57. 57. 57. 57. 57. 57. 57. 57. 58. 58. 58. 58. 58. 58. 58. 58. 58. 57.
 57. 57. 57. 59. 60. 60. 60. 60. 60. 60. 60. 60. 60. 61. 61. 61. 61. 61.
 61. 61. 61. 59. 58. 60. 60. 61. 61. 61. 62. 62. 62. 62. 62. 62. 62. 62.
 62. 62. 62. 62. 62. 62. 62. 62. 61. 61.]",0.8540480664402131,49.676023391571896,0.09080827609064251
4213,0.05,0,5,6,opinion-timeseries,rep,13,4128,"[58. 60. 60. 60. 60. 58. 58. 58. 59. 60. 60. 60. 60. 60. 60. 60. 60. 60.
 60. 60. 59. 59. 60. 60. 59. 59. 58. 58. 58. 58. 58. 59. 58. 59. 59. 60.
 60. 61. 61. 61. 60. 60. 60. 60. 60. 61. 61. 61. 61. 61. 63. 63. 63. 63.
 64. 64. 64. 64. 64. 64. 64. 64. 63. 63.]",0.5182568768556806,52.28754440590989,0.09204297749370607
4205,0.05,0,5,6,opinion-timeseries,rep,5,2179,"[58. 58. 58. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 59. 59. 59. 59. 59.
 59. 59. 58. 58. 58. 58. 58. 58. 58. 58. 58. 58. 59. 59. 61. 61. 61. 62.
 62. 62. 62. 61. 61. 61. 61. 61. 61. 61. 61. 61. 62. 62. 62. 62. 62. 62.
 62. 62. 62. 62. 62. 62. 62. 63. 62. 62.]",0.740338607907474,51.13968419925957,0.09237841351382525
39450,0.25,0,5,1,opinion-timeseries,rep,15,6179,"[57. 57. 57. 56. 56. 56. 56. 59. 59. 60. 60. 60. 60. 60. 60. 60. 60. 60.
 60. 60. 59. 59. 59. 59. 59. 57. 57. 58. 58. 59. 59. 59. 59. 59. 58. 58.
 59. 60. 59. 59. 59. 60. 60. 60. 60. 60. 62. 62. 62. 62. 62. 62. 62. 62.
 62. 62. 62. 62. 62. 62. 62. 62. 62. 62.]",0.7165226362351721,52.501498073864504,0.09332190049167649
