,ws_p,ws_k,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
7919,0.5,10,0,5,6,opinion-timeseries,rep,"[65.       65.46667  65.666664 65.2      65.2      64.8      64.8
 64.933334 65.1      65.333336 64.933334 64.933334 64.933334 64.933334
 64.933334 64.933334 64.933334 64.166664 64.166664 64.166664 63.733334
 64.       64.333336 64.       63.466667 63.1      62.466667 62.6
 62.6      62.9      63.133335 62.866665 62.766666 62.9      62.8
 62.933334 63.033333 63.2      62.8      62.533333 62.166668 62.133335
 62.133335 62.366665 62.566666 63.066666 63.4      63.8      64.066666
 64.066666 64.46667  64.46667  64.46667  64.46667  64.76667  64.76667
 64.76667  64.76667  64.76667  64.76667  64.96667  65.1      64.8
 64.666664]",-0.45931194091057326,57.706567408460046,0.09784544489611569
122,0.1,2,0,5,0,opinion-timeseries,rep,"[65.       65.4      65.46667  65.36667  65.36667  64.9      64.9
 64.9      65.2      65.46667  65.2      65.2      65.2      65.2
 65.2      65.2      65.2      64.3      64.3      64.3      64.3
 64.433334 64.6      64.6      64.26667  63.866665 63.566666 63.766666
 63.766666 63.866665 64.03333  63.7      63.466667 63.566666 63.566666
 63.566666 63.7      63.7      63.333332 62.933334 62.533333 62.533333
 62.533333 62.633335 62.9      63.033333 63.133335 63.266666 63.233334
 63.233334 63.3      63.3      63.3      63.3      63.3      63.3
 63.3      63.3      63.3      63.3      63.3      63.3      62.9
 62.9     ]",-0.8210529320673258,59.44772080392241,0.10112334830759934
4313,0.25,5,0,5,2,opinion-timeseries,rep,"[60.       60.566666 60.8      60.566666 60.566666 60.066666 60.066666
 60.1      60.3      60.633335 60.2      60.2      60.2      60.2
 60.2      60.2      60.2      59.333332 59.333332 59.333332 59.333332
 59.466667 60.       59.966667 59.633335 59.233334 58.966667 59.166668
 59.166668 59.3      59.5      59.3      58.9      59.133335 59.133335
 59.166668 59.3      59.3      59.       58.833332 58.566666 58.533333
 58.533333 58.8      59.       59.3      59.566666 59.833332 59.9
 59.9      60.266666 60.266666 60.266666 60.266666 60.266666 60.266666
 60.266666 60.266666 60.233334 60.233334 60.266666 60.266666 59.833332
 59.833332]",-0.36515796368256837,61.908165689017714,0.10967106109496742
3119,0.25,2,0,5,4,opinion-timeseries,rep,"[59.       59.6      59.833332 59.766666 59.766666 59.366665 59.366665
 59.4      59.566666 59.766666 59.4      59.4      59.4      59.4
 59.4      59.4      59.4      58.7      58.7      58.7      58.666668
 59.       59.2      59.2      58.766666 58.333332 58.1      58.3
 58.3      58.4      58.8      58.9      59.133335 59.433334 59.4
 59.433334 59.633335 59.633335 59.366665 59.1      58.7      58.733334
 58.733334 58.966667 59.166668 59.4      59.666668 59.966667 59.966667
 59.966667 60.133335 60.133335 60.133335 60.133335 60.133335 60.1
 60.1      60.1      60.1      60.1      60.1      60.1      59.333332
 59.333332]",0.14308761065464307,61.30829848914144,0.10973060032877877
1346,0.1,5,0,5,8,opinion-timeseries,rep,"[58.       58.655174 59.03448  58.86207  58.86207  58.517242 58.517242
 58.517242 58.75862  58.86207  58.344826 58.344826 58.344826 58.344826
 58.344826 58.344826 58.344826 57.62069  57.62069  57.62069  57.62069
 57.86207  58.24138  58.24138  57.827587 57.62069  57.517242 57.75862
 57.75862  58.       58.310345 58.310345 58.482758 58.689655 58.655174
 58.655174 58.931034 58.96552  58.689655 58.275864 58.       58.
 58.       58.37931  58.482758 58.793102 58.96552  59.206898 59.310345
 59.310345 59.62069  59.62069  59.62069  59.62069  59.62069  59.62069
 59.62069  59.62069  59.62069  59.62069  59.62069  59.689655 59.482758
 59.448277]",0.352273986074458,63.50990247807801,0.11586365312655017
5501,0.25,15,0,4,8,opinion-timeseries,rep,"[60.       61.533333 62.133335 60.5      60.5      59.733334 59.733334
 60.1      60.9      61.633335 60.633335 60.6      60.6      60.6
 60.6      60.566666 60.566666 58.766666 58.766666 58.766666 58.466667
 59.2      60.6      60.033333 57.9      56.066666 54.8      55.733334
 55.733334 56.266666 57.1      56.7      56.3      57.       56.6
 57.066666 57.6      58.       56.933334 55.8      54.8      54.933334
 54.933334 55.7      56.633335 57.933334 59.033333 60.166668 60.8
 60.8      61.433334 61.433334 61.433334 61.433334 62.2      62.2
 62.2      62.2      62.2      62.2      62.566666 62.933334 62.066666
 61.766666]",-0.13600325764197624,66.92060917478473,0.11947762143979905
8492,0.5,15,0,5,0,opinion-timeseries,rep,"[59.       59.733334 60.       59.466667 59.466667 59.1      59.1
 59.266666 59.433334 59.7      59.433334 59.433334 59.433334 59.433334
 59.433334 59.4      59.4      58.333332 58.333332 58.333332 58.033333
 58.266666 58.833332 58.5      57.833332 57.3      56.7      56.9
 56.9      57.166668 57.633335 57.533333 57.266666 57.566666 57.233334
 57.433334 57.733334 57.9      57.7      57.433334 57.       56.866665
 56.866665 57.1      57.433334 57.933334 58.266666 58.6      59.1
 59.1      59.5      59.5      59.5      59.5      59.833332 59.833332
 59.833332 59.833332 59.833332 59.833332 60.133335 60.3      59.933334
 59.7     ]",-0.2119425913421622,66.88867425463413,0.1203142604757367
1922,0.1,10,0,5,0,opinion-timeseries,rep,"[57.       57.733334 58.033333 57.733334 57.733334 57.466667 57.466667
 57.6      58.066666 58.4      58.       58.       58.       58.
 58.       58.       58.       57.233334 57.233334 57.233334 57.2
 57.433334 57.866665 57.8      57.266666 56.9      56.566666 56.966667
 56.966667 57.2      57.433334 57.333332 57.233334 57.533333 57.5
 57.7      57.9      58.033333 57.566666 57.133335 56.666668 56.6
 56.6      56.766666 57.033333 57.433334 58.033333 58.333332 58.666668
 58.666668 59.       59.033333 59.033333 59.033333 59.133335 59.133335
 59.133335 59.133335 59.133335 59.133335 59.266666 59.466667 59.
 58.933334]",0.3209718385162522,67.15427125823251,0.12211521955990948
3710,0.25,3,0,5,1,opinion-timeseries,rep,"[57.       57.6      57.866665 58.366665 58.366665 58.133335 58.133335
 58.166668 58.433334 59.066666 58.533333 58.533333 58.533333 58.533333
 58.533333 58.533333 58.533333 57.466667 57.466667 57.466667 57.433334
 57.733334 57.9      57.9      57.566666 57.233334 56.533333 56.8
 56.8      57.133335 57.466667 57.3      57.5      57.766666 57.733334
 57.733334 58.133335 58.133335 57.833332 57.466667 56.966667 56.966667
 56.966667 57.3      57.8      57.966667 58.166668 58.366665 58.533333
 58.533333 58.733334 58.733334 58.733334 58.733334 58.733334 58.733334
 58.733334 58.733334 58.733334 58.733334 58.733334 58.766666 58.5
 58.466667]",0.12903229869704919,67.51887136347486,0.12216191383925301
3704,0.25,3,0,4,9,opinion-timeseries,rep,"[58.       59.433334 60.1      60.3      60.3      59.066666 59.066666
 59.166668 59.866665 60.566666 59.5      59.5      59.5      59.5
 59.5      59.466667 59.466667 57.2      57.2      57.2      57.1
 58.       58.633335 58.566666 57.6      56.7      55.8      56.433334
 56.433334 57.333332 58.233334 57.933334 57.633335 58.3      58.3
 58.3      58.933334 58.933334 57.833332 56.866665 55.9      55.866665
 55.866665 56.4      56.9      57.266666 58.033333 58.9      58.866665
 58.866665 59.566666 59.633335 59.633335 59.633335 59.666668 59.666668
 59.666668 59.666668 59.666668 59.666668 59.7      59.733334 58.533333
 58.533333]",-0.21202024426268226,68.01582423458902,0.12337295826689056
