,ws_p,ws_k,simple_spread_chance,repetition,run,pearson,euclidean,mape
25207,0.5,15,0.01,8,1,-0.7889054919998664,185.17664396313697,0.2657584656202984
17985,0.5,2,0.01,6,5,-0.533478848956142,189.92108373012755,0.2764876654954745
25224,0.5,15,0.01,8,18,-0.7281142090997341,185.466956470793,0.27885753724095713
3584,0.1,5,0.01,1,23,-0.651957331538041,195.02722116930602,0.2823953789601388
25225,0.5,15,0.01,8,19,-0.7372860439199561,193.75851115709474,0.2830217752271593
25151,0.5,15,0.01,6,5,-0.38252205861887534,194.70722663729126,0.2847538528579551
16060,0.25,15,0.01,1,28,-0.6768461873875098,201.697024295173,0.28951360230420237
25212,0.5,15,0.01,8,6,-0.740953518030965,206.1553934262711,0.2909209700565119
21502,0.5,5,0.01,4,11,-0.6387834381111386,199.13147286003448,0.29172892650468624
12610,0.25,5,0.01,6,25,-0.5795209726729569,198.75709888526464,0.2918002275795778
